model,run,step,node_or_outcome,value
voter,6,69,tracked_state_1,9
voter,6,70,tracked_state_1,9
voter,6,71,tracked_state_1,9
voter,6,72,tracked_state_1,9
voter,6,73,tracked_state_1,9
voter,6,74,tracked_state_1,9
voter,6,75,tracked_state_1,8
voter,6,76,tracked_state_1,7
voter,6,77,tracked_state_1,7
voter,6,78,tracked_state_1,7
voter,6,79,tracked_state_1,7
voter,6,80,tracked_state_1,7
voter,6,81,tracked_state_1,7
voter,6,82,tracked_state_1,7
voter,6,83,tracked_state_1,7
voter,6,84,tracked_state_1,7
voter,6,85,tracked_state_1,7
voter,6,86,tracked_state_1,7
voter,6,87,tracked_state_1,7
voter,6,88,tracked_state_1,7
voter,6,89,tracked_state_1,7
voter,6,90,tracked_state_1,7
voter,6,91,tracked_state_1,7
voter,6,92,tracked_state_1,7
voter,6,93,tracked_state_1,7
voter,6,94,tracked_state_1,6
voter,6,95,tracked_state_1,6
voter,6,96,tracked_state_1,6
voter,6,97,tracked_state_1,7
voter,6,98,tracked_state_1,7
voter,6,99,tracked_state_1,7
voter,6,100,tracked_state_1,7
voter,7,0,tracked_state_1,10
voter,7,1,tracked_state_1,10
voter,7,2,tracked_state_1,10
voter,7,3,tracked_state_1,10
voter,7,4,tracked_state_1,10
voter,7,5,tracked_state_1,10
voter,7,6,tracked_state_1,10
voter,7,7,tracked_state_1,10
voter,7,8,tracked_state_1,10
voter,7,9,tracked_state_1,10
voter,7,10,tracked_state_1,10
voter,7,11,tracked_state_1,10
voter,7,12,tracked_state_1,9
voter,7,13,tracked_state_1,9
voter,7,14,tracked_state_1,9
voter,7,15,tracked_state_1,8
voter,7,16,tracked_state_1,8
voter,7,17,tracked_state_1,8
voter,7,18,tracked_state_1,7
voter,7,19,tracked_state_1,7
voter,7,20,tracked_state_1,7
voter,7,21,tracked_state_1,6
voter,7,22,tracked_state_1,6
voter,7,23,tracked_state_1,6
voter,7,24,tracked_state_1,6
voter,7,25,tracked_state_1,6
voter,7,26,tracked_state_1,6
voter,7,27,tracked_state_1,6
voter,7,28,tracked_state_1,6
voter,7,29,tracked_state_1,6
voter,7,30,tracked_state_1,6
voter,7,31,tracked_state_1,6
voter,7,32,tracked_state_1,6
voter,7,33,tracked_state_1,6
voter,7,34,tracked_state_1,6
voter,7,35,tracked_state_1,6
voter,7,36,tracked_state_1,6
voter,7,37,tracked_state_1,6
voter,7,38,tracked_state_1,6
voter,7,39,tracked_state_1,5
voter,7,40,tracked_state_1,5
voter,7,41,tracked_state_1,5
voter,7,42,tracked_state_1,5
voter,7,43,tracked_state_1,5
voter,7,44,tracked_state_1,5
voter,7,45,tracked_state_1,5
voter,7,46,tracked_state_1,5
voter,7,47,tracked_state_1,5
voter,7,48,tracked_state_1,5
voter,7,49,tracked_state_1,5
voter,7,50,tracked_state_1,6
voter,7,51,tracked_state_1,6
voter,7,52,tracked_state_1,6
voter,7,53,tracked_state_1,6
voter,7,54,tracked_state_1,6
voter,7,55,tracked_state_1,5
voter,7,56,tracked_state_1,6
voter,7,57,tracked_state_1,6
voter,7,58,tracked_state_1,5
voter,7,59,tracked_state_1,6
voter,7,60,tracked_state_1,6
voter,7,61,tracked_state_1,6
voter,7,62,tracked_state_1,6
voter,7,63,tracked_state_1,6
voter,7,64,tracked_state_1,6
voter,7,65,tracked_state_1,6
voter,7,66,tracked_state_1,6
voter,7,67,tracked_state_1,6
voter,7,68,tracked_state_1,6
voter,7,69,tracked_state_1,7
voter,7,70,tracked_state_1,7
voter,7,71,tracked_state_1,7
voter,7,72,tracked_state_1,7
voter,7,73,tracked_state_1,8
voter,7,74,tracked_state_1,8
voter,7,75,tracked_state_1,8
voter,7,76,tracked_state_1,8
voter,7,77,tracked_state_1,8
voter,7,78,tracked_state_1,7
voter,7,79,tracked_state_1,7
voter,7,80,tracked_state_1,8
voter,7,81,tracked_state_1,8
voter,7,82,tracked_state_1,7
voter,7,83,tracked_state_1,7
voter,7,84,tracked_state_1,7
voter,7,85,tracked_state_1,7
voter,7,86,tracked_state_1,7
voter,7,87,tracked_state_1,7
voter,7,88,tracked_state_1,8
voter,7,89,tracked_state_1,8
voter,7,90,tracked_state_1,8
